Nom municipi,Nom comarca,Nom província
Abella de la Conca,Pallars Jussà,Lleida
Abrera,Baix Llobregat,Barcelona
Àger,Noguera,Lleida
Agramunt,Urgell,Lleida
Aguilar de Segarra,Bages,Barcelona
Agullana,Alt Empordà,Girona
Aiguafreda,Osona,Barcelona
Aiguamúrcia,Alt Camp,Tarragona
Aiguaviva,Gironès,Girona
Aitona,Segrià,Lleida
"Alamús, els",Segrià,Lleida
Alàs i Cerc,Alt Urgell,Lleida
"Albagés, l'",Garrigues,Lleida
Albanyà,Alt Empordà,Girona
Albatàrrec,Segrià,Lleida
Albesa,Noguera,Lleida
"Albi, l'",Garrigues,Lleida
Albinyana,Baix Penedès,Tarragona
"Albiol, l'",Baix Camp,Tarragona
Albons,Baix Empordà,Girona
Alcanar,Montsià,Tarragona
Alcanó,Segrià,Lleida
Alcarràs,Segrià,Lleida
Alcoletge,Segrià,Lleida
Alcover,Alt Camp,Tarragona
"Aldea, l'",Baix Ebre,Tarragona
Aldover,Baix Ebre,Tarragona
"Aleixar, l'",Baix Camp,Tarragona
Alella,Maresme,Barcelona
Alfara de Carles,Baix Ebre,Tarragona
Alfarràs,Segrià,Lleida
Alfés,Segrià,Lleida
Alforja,Baix Camp,Tarragona
Algerri,Noguera,Lleida
Alguaire,Segrià,Lleida
Alins,Pallars Sobirà,Lleida
Alió,Alt Camp,Tarragona
Almacelles,Segrià,Lleida
Almatret,Segrià,Lleida
Almenar,Segrià,Lleida
Almoster,Baix Camp,Tarragona
Alòs de Balaguer,Noguera,Lleida
Alp,Cerdanya,Girona
Alpens,Lluçanès,Barcelona
Alpicat,Segrià,Lleida
Alt Àneu,Pallars Sobirà,Lleida
Altafulla,Tarragonès,Tarragona
Amer,Selva,Girona
"Ametlla de Mar, l'",Baix Ebre,Tarragona
"Ametlla del Vallès, l'",Vallès Oriental,Barcelona
"Ampolla, l'",Baix Ebre,Tarragona
Amposta,Montsià,Tarragona
Anglès,Selva,Girona
Anglesola,Urgell,Lleida
Arbeca,Garrigues,Lleida
"Arboç, l'",Baix Penedès,Tarragona
Arbolí,Baix Camp,Tarragona
Arbúcies,Selva,Girona
Arenys de Mar,Maresme,Barcelona
Arenys de Munt,Maresme,Barcelona
Argelaguer,Garrotxa,Girona
Argençola,Anoia,Barcelona
"Argentera, l'",Baix Camp,Tarragona
Argentona,Maresme,Barcelona
"Armentera, l'",Alt Empordà,Girona
Arnes,Terra Alta,Tarragona
Arres,Aran,Lleida
Arsèguel,Alt Urgell,Lleida
Artés,Bages,Barcelona
Artesa de Lleida,Segrià,Lleida
Artesa de Segre,Noguera,Lleida
Ascó,Ribera d'Ebre,Tarragona
Aspa,Segrià,Lleida
"Avellanes i Santa Linya, les",Noguera,Lleida
Avià,Berguedà,Barcelona
Avinyó,Bages,Barcelona
Avinyonet de Puigventós,Alt Empordà,Girona
Avinyonet del Penedès,Alt Penedès,Barcelona
Badalona,Barcelonès,Barcelona
Badia del Vallès,Vallès Occidental,Barcelona
Bagà,Berguedà,Barcelona
Baix Pallars,Pallars Sobirà,Lleida
Balaguer,Noguera,Lleida
Balenyà,Osona,Barcelona
Balsareny,Bages,Barcelona
Banyeres del Penedès,Baix Penedès,Tarragona
Banyoles,Pla de l'Estany,Girona
Barbens,Pla d'Urgell,Lleida
Barberà de la Conca,Conca de Barberà,Tarragona
Barberà del Vallès,Vallès Occidental,Barcelona
Barcelona,Barcelonès,Barcelona
"Baronia de Rialb, la",Noguera,Lleida
Bàscara,Alt Empordà,Girona
Bassella,Alt Urgell,Lleida
Batea,Terra Alta,Tarragona
Bausen,Aran,Lleida
Begues,Baix Llobregat,Barcelona
Begur,Baix Empordà,Girona
Belianes,Urgell,Lleida
Bell-lloc d'Urgell,Pla d'Urgell,Lleida
Bellaguarda,Garrigues,Lleida
Bellcaire d'Empordà,Baix Empordà,Girona
Bellcaire d'Urgell,Noguera,Lleida
Bellmunt d'Urgell,Noguera,Lleida
Bellmunt del Priorat,Priorat,Tarragona
Bellprat,Anoia,Barcelona
Bellpuig,Urgell,Lleida
Bellvei,Baix Penedès,Tarragona
Bellver de Cerdanya,Cerdanya,Lleida
Bellvís,Pla d'Urgell,Lleida
Benavent de Segrià,Segrià,Lleida
Benifallet,Baix Ebre,Tarragona
Benissanet,Ribera d'Ebre,Tarragona
Berga,Berguedà,Barcelona
Besalú,Garrotxa,Girona
Bescanó,Gironès,Girona
Beuda,Garrotxa,Girona
Bigues i Riells del Fai,Vallès Oriental,Barcelona
Biosca,Solsonès,Lleida
"Bisbal d'Empordà, la",Baix Empordà,Girona
"Bisbal de Montsant, la",Priorat,Tarragona
"Bisbal del Penedès, la",Baix Penedès,Tarragona
Biure,Alt Empordà,Girona
Blancafort,Conca de Barberà,Tarragona
Blanes,Selva,Girona
Boadella i les Escaules,Alt Empordà,Girona
Bolvir,Cerdanya,Girona
Bonastre,Baix Penedès,Tarragona
"Bòrdes, Es",Aran,Lleida
Bordils,Gironès,Girona
"Borges Blanques, les",Garrigues,Lleida
"Borges del Camp, les",Baix Camp,Tarragona
Borrassà,Alt Empordà,Girona
Borredà,Berguedà,Barcelona
Bossòst,Aran,Lleida
Bot,Terra Alta,Tarragona
Botarell,Baix Camp,Tarragona
Bovera,Garrigues,Lleida
Bràfim,Alt Camp,Tarragona
Breda,Selva,Girona
"Bruc, el",Anoia,Barcelona
"Brull, el",Osona,Barcelona
Brunyola i Sant Martí Sapresa,Selva,Girona
Cabacés,Priorat,Tarragona
Cabanabona,Noguera,Lleida
Cabanelles,Alt Empordà,Girona
Cabanes,Alt Empordà,Girona
"Cabanyes, les",Alt Penedès,Barcelona
Cabó,Alt Urgell,Lleida
Cabra del Camp,Alt Camp,Tarragona
Cabrera d'Anoia,Anoia,Barcelona
Cabrera de Mar,Maresme,Barcelona
Cabrils,Maresme,Barcelona
Cadaqués,Alt Empordà,Girona
Calaf,Anoia,Barcelona
Calafell,Baix Penedès,Tarragona
Calders,Moianès,Barcelona
Caldes d'Estrac,Maresme,Barcelona
Caldes de Malavella,Selva,Girona
Caldes de Montbui,Vallès Oriental,Barcelona
Calella,Maresme,Barcelona
Calldetenes,Osona,Barcelona
Callús,Bages,Barcelona
Calonge de Segarra,Anoia,Barcelona
Calonge i Sant Antoni,Baix Empordà,Girona
Camarasa,Noguera,Lleida
Camarles,Baix Ebre,Tarragona
Cambrils,Baix Camp,Tarragona
Camós,Pla de l'Estany,Girona
Campdevànol,Ripollès,Girona
Campelles,Ripollès,Girona
Campins,Vallès Oriental,Barcelona
Campllong,Gironès,Girona
Camprodon,Ripollès,Girona
Canejan,Aran,Lleida
Canet d'Adri,Gironès,Girona
Canet de Mar,Maresme,Barcelona
"Canonja, la",Tarragonès,Tarragona
Canovelles,Vallès Oriental,Barcelona
Cànoves i Samalús,Vallès Oriental,Barcelona
Cantallops,Alt Empordà,Girona
Canyelles,Garraf,Barcelona
Capafonts,Baix Camp,Tarragona
Capçanes,Priorat,Tarragona
Capellades,Anoia,Barcelona
Capmany,Alt Empordà,Girona
Capolat,Berguedà,Barcelona
Cardedeu,Vallès Oriental,Barcelona
Cardona,Bages,Barcelona
Carme,Anoia,Barcelona
Caseres,Terra Alta,Tarragona
Cassà de la Selva,Gironès,Girona
Casserres,Berguedà,Barcelona
"Castell d'Aro, Platja d'Aro i s'Agaró",Baix Empordà,Girona
Castell de l'Areny,Berguedà,Barcelona
Castell de Mur,Pallars Jussà,Lleida
Castellar de la Ribera,Solsonès,Lleida
Castellar de n'Hug,Berguedà,Barcelona
Castellar del Riu,Berguedà,Barcelona
Castellar del Vallès,Vallès Occidental,Barcelona
Castellbell i el Vilar,Bages,Barcelona
Castellbisbal,Vallès Occidental,Barcelona
Castellcir,Moianès,Barcelona
Castelldans,Garrigues,Lleida
Castelldefels,Baix Llobregat,Barcelona
Castellet i la Gornal,Alt Penedès,Barcelona
Castellfollit de la Roca,Garrotxa,Girona
Castellfollit de Riubregós,Anoia,Barcelona
Castellfollit del Boix,Bages,Barcelona
Castellgalí,Bages,Barcelona
Castellnou de Bages,Bages,Barcelona
Castellnou de Seana,Pla d'Urgell,Lleida
Castelló d'Empúries,Alt Empordà,Girona
Castelló de Farfanya,Noguera,Lleida
Castellolí,Anoia,Barcelona
Castellserà,Urgell,Lleida
Castellterçol,Moianès,Barcelona
Castellvell del Camp,Baix Camp,Tarragona
Castellví de la Marca,Alt Penedès,Barcelona
Castellví de Rosanes,Baix Llobregat,Barcelona
"Catllar, el",Tarragonès,Tarragona
Cava,Alt Urgell,Lleida
"Cellera de Ter, la",Selva,Girona
Celrà,Gironès,Girona
Centelles,Osona,Barcelona
Cercs,Berguedà,Barcelona
Cerdanyola del Vallès,Vallès Occidental,Barcelona
Cervelló,Baix Llobregat,Barcelona
Cervera,Segarra,Lleida
Cervià de les Garrigues,Garrigues,Lleida
Cervià de Ter,Gironès,Girona
Cistella,Alt Empordà,Girona
Ciutadilla,Urgell,Lleida
Clariana de Cardener,Solsonès,Lleida
"Cogul, el",Garrigues,Lleida
Colera,Alt Empordà,Girona
Coll de Nargó,Alt Urgell,Lleida
Collbató,Baix Llobregat,Barcelona
Colldejou,Baix Camp,Tarragona
Collsuspina,Moianès,Barcelona
Colomers,Baix Empordà,Girona
"Coma i la Pedra, la",Solsonès,Lleida
Conca de Dalt,Pallars Jussà,Lleida
Conesa,Conca de Barberà,Tarragona
Constantí,Tarragonès,Tarragona
Copons,Anoia,Barcelona
Corbera d'Ebre,Terra Alta,Tarragona
Corbera de Llobregat,Baix Llobregat,Barcelona
Corbins,Segrià,Lleida
Corçà,Baix Empordà,Girona
Cornellà de Llobregat,Baix Llobregat,Barcelona
Cornellà del Terri,Pla de l'Estany,Girona
Cornudella de Montsant,Priorat,Tarragona
Creixell,Tarragonès,Tarragona
Crespià,Pla de l'Estany,Girona
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,Girona
Cubelles,Garraf,Barcelona
Cubells,Noguera,Lleida
Cunit,Baix Penedès,Tarragona
Darnius,Alt Empordà,Girona
Das,Cerdanya,Girona
Deltebre,Baix Ebre,Tarragona
Dosrius,Maresme,Barcelona
Duesaigües,Baix Camp,Tarragona
"Escala, l'",Alt Empordà,Girona
Esparreguera,Baix Llobregat,Barcelona
Espinelves,Osona,Girona
"Espluga Calba, l'",Garrigues,Lleida
"Espluga de Francolí, l'",Conca de Barberà,Tarragona
Esplugues de Llobregat,Baix Llobregat,Barcelona
Espolla,Alt Empordà,Girona
Esponellà,Pla de l'Estany,Girona
Espot,Pallars Sobirà,Lleida
"Espunyola, l'",Berguedà,Barcelona
"Esquirol, l'",Osona,Barcelona
Estamariu,Alt Urgell,Lleida
"Estany, l'",Moianès,Barcelona
Estaràs,Segarra,Lleida
Esterri d'Àneu,Pallars Sobirà,Lleida
Esterri de Cardós,Pallars Sobirà,Lleida
Falset,Priorat,Tarragona
"Far d'Empordà, el",Alt Empordà,Girona
Farrera,Pallars Sobirà,Lleida
"Fatarella, la",Terra Alta,Tarragona
"Febró, la",Baix Camp,Tarragona
Figaró-Montmany,Vallès Oriental,Barcelona
Fígols,Berguedà,Barcelona
Fígols i Alinyà,Alt Urgell,Lleida
"Figuera, la",Priorat,Tarragona
Figueres,Alt Empordà,Girona
Figuerola del Camp,Alt Camp,Tarragona
Flaçà,Gironès,Girona
Flix,Ribera d'Ebre,Tarragona
"Floresta, la",Garrigues,Lleida
Fogars de la Selva,Selva,Barcelona
Fogars de Montclús,Vallès Oriental,Barcelona
Foixà,Baix Empordà,Girona
Folgueroles,Osona,Barcelona
Fondarella,Pla d'Urgell,Lleida
Fonollosa,Bages,Barcelona
Font-rubí,Alt Penedès,Barcelona
Fontanals de Cerdanya,Cerdanya,Girona
Fontanilles,Baix Empordà,Girona
Fontcoberta,Pla de l'Estany,Girona
Foradada,Noguera,Lleida
Forallac,Baix Empordà,Girona
Forès,Conca de Barberà,Tarragona
Fornells de la Selva,Gironès,Girona
Fortià,Alt Empordà,Girona
"Franqueses del Vallès, les",Vallès Oriental,Barcelona
Freginals,Montsià,Tarragona
"Fuliola, la",Urgell,Lleida
Fulleda,Garrigues,Lleida
Gaià,Bages,Barcelona
"Galera, la",Montsià,Tarragona
Gallifa,Vallès Occidental,Barcelona
Gandesa,Terra Alta,Tarragona
Garcia,Ribera d'Ebre,Tarragona
"Garidells, els",Alt Camp,Tarragona
"Garriga, la",Vallès Oriental,Barcelona
Garrigàs,Alt Empordà,Girona
Garrigoles,Baix Empordà,Girona
Garriguella,Alt Empordà,Girona
Gavà,Baix Llobregat,Barcelona
Gavet de la Conca,Pallars Jussà,Lleida
Gelida,Alt Penedès,Barcelona
Ger,Cerdanya,Girona
Gimenells i el Pla de la Font,Segrià,Lleida
Ginestar,Ribera d'Ebre,Tarragona
Girona,Gironès,Girona
Gironella,Berguedà,Barcelona
Gisclareny,Berguedà,Barcelona
Godall,Montsià,Tarragona
Golmés,Pla d'Urgell,Lleida
Gombrèn,Ripollès,Girona
Gósol,Berguedà,Lleida
"Granada, la",Alt Penedès,Barcelona
"Granadella, la",Garrigues,Lleida
Granera,Moianès,Barcelona
"Granja d'Escarp, la",Segrià,Lleida
Granollers,Vallès Oriental,Barcelona
Granyanella,Segarra,Lleida
Granyena de les Garrigues,Garrigues,Lleida
Granyena de Segarra,Segarra,Lleida
Gratallops,Priorat,Tarragona
Gualba,Vallès Oriental,Barcelona
Gualta,Baix Empordà,Girona
Guardiola de Berguedà,Berguedà,Barcelona
"Guiamets, els",Priorat,Tarragona
Guils de Cerdanya,Cerdanya,Girona
Guimerà,Urgell,Lleida
"Guingueta d'Àneu, la",Pallars Sobirà,Lleida
Guissona,Segarra,Lleida
Guixers,Solsonès,Lleida
Gurb,Osona,Barcelona
Horta de Sant Joan,Terra Alta,Tarragona
"Hospitalet de Llobregat, l'",Barcelonès,Barcelona
"Hostalets de Pierola, els",Anoia,Barcelona
Hostalric,Selva,Girona
Igualada,Anoia,Barcelona
Isona i Conca Dellà,Pallars Jussà,Lleida
Isòvol,Cerdanya,Girona
Ivars d'Urgell,Pla d'Urgell,Lleida
Ivars de Noguera,Noguera,Lleida
Ivorra,Segarra,Lleida
Jafre,Baix Empordà,Girona
"Jonquera, la",Alt Empordà,Girona
Jorba,Anoia,Barcelona
Josa i Tuixén,Alt Urgell,Lleida
Juià,Gironès,Girona
Juncosa,Garrigues,Lleida
Juneda,Garrigues,Lleida
Les,Aran,Lleida
Linyola,Pla d'Urgell,Lleida
"Llacuna, la",Anoia,Barcelona
Lladó,Alt Empordà,Girona
Lladorre,Pallars Sobirà,Lleida
Lladurs,Solsonès,Lleida
"Llagosta, la",Vallès Oriental,Barcelona
Llagostera,Gironès,Girona
Llambilles,Gironès,Girona
Llanars,Ripollès,Girona
Llançà,Alt Empordà,Girona
Llardecans,Segrià,Lleida
Llavorsí,Pallars Sobirà,Lleida
Lleida,Segrià,Lleida
Llers,Alt Empordà,Girona
Lles de Cerdanya,Cerdanya,Lleida
Lliçà d'Amunt,Vallès Oriental,Barcelona
Lliçà de Vall,Vallès Oriental,Barcelona
Llimiana,Pallars Jussà,Lleida
Llinars del Vallès,Vallès Oriental,Barcelona
Llívia,Cerdanya,Girona
"Lloar, el",Priorat,Tarragona
Llobera,Solsonès,Lleida
Llorac,Conca de Barberà,Tarragona
Llorenç del Penedès,Baix Penedès,Tarragona
Lloret de Mar,Selva,Girona
"Llosses, les",Ripollès,Girona
Lluçà,Lluçanès,Barcelona
Maçanet de Cabrenys,Alt Empordà,Girona
Maçanet de la Selva,Selva,Girona
Madremanya,Gironès,Girona
Maià de Montcal,Garrotxa,Girona
Maials,Segrià,Lleida
Maldà,Urgell,Lleida
Malgrat de Mar,Maresme,Barcelona
Malla,Osona,Barcelona
Manlleu,Osona,Barcelona
Manresa,Bages,Barcelona
Marçà,Priorat,Tarragona
Margalef,Priorat,Tarragona
Marganell,Bages,Barcelona
Martorell,Baix Llobregat,Barcelona
Martorelles,Vallès Oriental,Barcelona
Mas de Barberans,Montsià,Tarragona
Masarac i Vilarnadal,Alt Empordà,Girona
Masdenverge,Montsià,Tarragona
"Masies de Roda, les",Osona,Barcelona
"Masies de Voltregà, les",Osona,Barcelona
Masllorenç,Baix Penedès,Tarragona
"Masnou, el",Maresme,Barcelona
"Masó, la",Alt Camp,Tarragona
Maspujols,Baix Camp,Tarragona
Masquefa,Anoia,Barcelona
"Masroig, el",Priorat,Tarragona
Massalcoreig,Segrià,Lleida
Massanes,Selva,Girona
Massoteres,Segarra,Lleida
Matadepera,Vallès Occidental,Barcelona
Mataró,Maresme,Barcelona
Mediona,Alt Penedès,Barcelona
Menàrguens,Noguera,Lleida
Meranges,Cerdanya,Girona
Mieres,Garrotxa,Girona
"Milà, el",Alt Camp,Tarragona
Miralcamp,Pla d'Urgell,Lleida
Miravet,Ribera d'Ebre,Tarragona
Moià,Moianès,Barcelona
"Molar, el",Priorat,Tarragona
Molins de Rei,Baix Llobregat,Barcelona
Mollerussa,Pla d'Urgell,Lleida
Mollet de Peralada,Alt Empordà,Girona
Mollet del Vallès,Vallès Oriental,Barcelona
Molló,Ripollès,Girona
"Molsosa, la",Solsonès,Lleida
Monistrol de Calders,Moianès,Barcelona
Monistrol de Montserrat,Bages,Barcelona
Mont-ral,Alt Camp,Tarragona
Mont-ras,Baix Empordà,Girona
Mont-roig del Camp,Baix Camp,Tarragona
Montagut i Oix,Garrotxa,Girona
Montblanc,Conca de Barberà,Tarragona
Montbrió del Camp,Baix Camp,Tarragona
Montcada i Reixac,Vallès Occidental,Barcelona
Montclar,Berguedà,Barcelona
Montellà i Martinet,Cerdanya,Lleida
Montesquiu,Osona,Barcelona
Montferrer i Castellbò,Alt Urgell,Lleida
Montferri,Alt Camp,Tarragona
Montgai,Noguera,Lleida
Montgat,Maresme,Barcelona
Montmajor,Berguedà,Barcelona
Montmaneu,Anoia,Barcelona
"Montmell, el",Baix Penedès,Tarragona
Montmeló,Vallès Oriental,Barcelona
Montoliu de Lleida,Segrià,Lleida
Montoliu de Segarra,Segarra,Lleida
Montornès de Segarra,Segarra,Lleida
Montornès del Vallès,Vallès Oriental,Barcelona
Montseny,Vallès Oriental,Barcelona
Móra d'Ebre,Ribera d'Ebre,Tarragona
Móra la Nova,Ribera d'Ebre,Tarragona
"Morell, el",Tarragonès,Tarragona
"Morera de Montsant, la",Priorat,Tarragona
Muntanyola,Osona,Barcelona
Mura,Bages,Barcelona
Nalec,Urgell,Lleida
Naut Aran,Aran,Lleida
Navarcles,Bages,Barcelona
Navàs,Bages,Barcelona
Navata,Alt Empordà,Girona
Navès,Solsonès,Lleida
"Nou de Berguedà, la",Berguedà,Barcelona
"Nou de Gaià, la",Tarragonès,Tarragona
